               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12019,            0.069933,                   0,            0.014444,             0.59091,            0.018418,           0.0061066,             0.11418,            0.054817,                   0,              0.0982,              0.0002,              0.0002
                   1,             0.11927,            0.070048,                   0,            0.014722,             0.60227,            0.017538,           0.0057845,              0.1122,            0.053486,                   0,            0.095495,          0.00049505,          0.00049505
                   2,             0.11562,            0.065752,                   0,            0.018228,             0.47727,            0.027863,            0.008611,             0.10995,              0.0536,                   0,            0.092784,          0.00078416,          0.00078416
                   3,             0.11171,            0.075883,                   0,              0.0175,             0.71591,            0.040586,            0.014161,             0.10505,            0.053951,                   0,            0.090067,           0.0010673,           0.0010673
                   4,             0.10388,            0.071486,                   0,            0.020556,             0.84091,            0.061117,            0.019471,             0.09512,            0.058083,                   0,            0.087345,           0.0013446,           0.0013446
                   5,             0.10158,            0.079309,                   0,            0.021389,               0.875,            0.081021,            0.022182,            0.090978,            0.059826,                   0,            0.084616,           0.0016158,           0.0016158
                   6,             0.09711,            0.082768,                   0,             0.19631,             0.21591,            0.093446,            0.029586,            0.088224,            0.060329,                   0,            0.081881,           0.0018812,           0.0018812
                   7,            0.091455,             0.07998,                   0,             0.19167,             0.15909,            0.097302,            0.027892,             0.08657,            0.060848,                   0,            0.079141,           0.0021406,           0.0021406
                   8,             0.08984,            0.084468,                   0,             0.16787,             0.10227,            0.099974,            0.028287,            0.083878,            0.061474,                   0,            0.076394,           0.0023941,           0.0023941
                   9,            0.092819,            0.089214,                   0,             0.23254,             0.21591,              0.1194,            0.030326,            0.082471,            0.061153,                   0,            0.073642,           0.0026416,           0.0026416
                  10,            0.086662,            0.098936,                   0,             0.16751,              0.2424,              0.1043,            0.027695,             0.08069,            0.060223,                   0,            0.070883,           0.0028832,           0.0028832
                  11,            0.087689,            0.098379,                   0,             0.15203,             0.28409,            0.094392,            0.023618,            0.080104,            0.057938,                   0,            0.068119,           0.0031189,           0.0031189
                  12,            0.083271,            0.082245,                   0,             0.20177,             0.31818,             0.14282,            0.040558,            0.077907,            0.055237,                   0,            0.065349,           0.0033486,           0.0033486
                  13,            0.079296,            0.085435,                   0,             0.20352,             0.39773,             0.17454,            0.051838,            0.076458,            0.054783,                   0,            0.062572,           0.0035723,           0.0035723
                  14,            0.079964,            0.086606,                   0,            0.099191,               0.375,            0.094076,            0.025556,            0.078182,            0.056324,                   0,             0.05979,           0.0037902,           0.0037902
                  15,            0.075642,            0.089056,                   0,             0.23654,               0.375,              0.2331,            0.065705,            0.072943,            0.066036,                   0,            0.057002,           0.0040021,           0.0040021
                  16,            0.074183,             0.10313,                   0,             0.34281,             0.44318,             0.26776,            0.072206,            0.072914,            0.064137,                   0,            0.054208,            0.004208,            0.004208
                  17,            0.068506,            0.083294,                   0,             0.27302,             0.34091,             0.24249,            0.062098,            0.072742,            0.068592,                   0,            0.051408,            0.004408,            0.004408
                  18,            0.068873,              0.0841,                   0,             0.14228,             0.43182,             0.15339,             0.04118,            0.080276,            0.069679,                   0,            0.048602,           0.0046021,           0.0046021
