 	BX	BY	Width	Height
1	102	2	85	106
2	0	173	57	70
3	341	0	88	83
4	475	0	173	54
5	178	132	129	82
6	96	259	80	85
7	28	361	189	233
8	251	357	62	62
9	320	377	106	165
10	491	134	96	70
11	427	266	62	55
12	447	369	67	69
13	1011	0	83	36
14	905	78	65	64
15	690	170	67	70
16	558	310	65	59
17	657	297	62	59
18	610	370	62	59
19	771	287	64	65
20	866	274	62	52
21	977	305	57	57
22	959	400	67	65
23	917	491	67	62
24	1029	93	137	134
25	1221	83	62	44
26	1274	149	67	57
27	1433	44	56	69
28	1629	0	155	122
29	1893	0	67	65
30	1999	34	49	54
31	1962	78	52	57
32	1870	165	67	60
33	1745	248	101	86
34	1880	297	88	70
35	268	666	98	67
36	23	830	101	80
37	0	1032	142	77
38	129	1112	62	106
39	721	442	52	49
40	735	504	84	66
41	801	597	64	60
42	856	661	54	70
43	636	540	73	78
44	535	708	127	114
45	458	641	44	52
46	344	765	72	62
47	290	874	69	59
48	204	921	86	137
49	202	1078	67	68
50	238	1222	100	109
51	110	1310	83	78
52	12	1292	83	93
53	38	1532	69	73
54	70	1820	72	60
55	116	1893	166	155
56	385	1523	75	67
57	385	1266	160	152
58	439	1807	60	65
59	1132	315	65	65
60	1073	423	62	75
61	1233	359	91	86
62	1390	165	207	251
63	1187	621	54	56
64	1419	483	95	132
65	1654	343	72	67
66	1742	483	111	95
67	1999	432	49	77
68	1906	522	142	137
69	1895	682	98	80
70	1323	749	111	197
71	1502	706	233	253
72	1796	780	93	108
73	1459	985	152	155
74	1688	987	67	70
75	1973	967	75	155
76	1702	1114	85	75
77	1841	1102	98	144
78	1599	1186	96	102
79	1698	1207	86	93
80	1828	1299	197	227
81	1544	1380	90	94
82	1083	799	65	75
83	1282	473	106	85
84	809	847	225	195
85	846	1624	196	222
86	1404	1603	168	161
87	1965	1683	60	68
88	1916	1870	60	59
89	1368	1965	93	78
90	1557	1986	90	62
