image_id,BX,BY,Width,Height
1,380,515,76,72
1,429,149,75,68
1,448,12,61,60
1,765,81,87,79
1,153,133,80,76
1,272,112,65,63
1,603,413,57,53
1,540,594,58,60
1,650,565,99,68
1,605,624,55,52
1,650,678,55,52
1,377,343,63,61
1,245,445,64,56
1,240,581,59,62
1,143,568,56,56
1,27,587,62,57
1,740,900,59,59
1,745,491,60,58
1,485,218,73,67
1,684,692,129,64
1,832,810,63,60
1,421,960,58,60
1,492,429,57,55
1,481,467,54,53
1,520,467,53,46
1,544,488,52,65
1,499,498,65,58
10,542,45,24,108
10,539,369,27,102
10,104,488,72,55
10,248,643,44,48
10,535,561,31,86
10,481,929,60,68
11,0,0,175,132
11,255,30,199,172
11,740,62,77,78
11,940,0,67,32
11,824,255,121,104
11,779,430,111,152
11,996,502,28,64
11,805,677,77,77
11,902,714,95,110
11,943,839,74,57
11,980,974,44,50
11,427,414,53,61
11,552,243,62,63
11,257,882,71,62
12,0,0,31,53
12,395,0,131,44
12,703,122,105,118
12,998,31,26,99
12,794,283,74,66
12,961,317,63,94
12,326,76,62,60
12,330,200,68,64
12,378,180,63,53
12,400,330,63,64
12,325,402,63,61
12,30,478,69,61
12,118,580,63,62
12,10,768,93,90
12,295,782,71,80
12,44,666,63,68
12,569,315,43,61
12,523,403,60,65
12,606,462,74,82
12,785,406,114,160
12,247,588,92,68
12,455,588,93,86
12,646,593,69,80
12,626,262,73,73
12,63,256,78,107
12,484,758,71,76
12,516,71,80,71
12,703,746,82,89
12,820,781,146,81
12,970,690,54,113
12,722,909,83,59
12,864,935,79,76
12,449,961,77,63
12,229,993,75,31
12,0,958,80,66
12,255,478,81,81
13,37,361,96,91
13,0,0,66,22
13,220,84,120,86
13,353,239,57,68
13,418,0,178,96
13,750,0,59,49
13,766,151,49,51
13,549,132,81,72
13,588,259,75,71
13,523,446,73,63
13,721,560,55,59
13,806,478,68,138
13,396,625,185,149
13,782,364,56,58
14,319,69,18,14
14,301,498,139,62
15,0,302,41,110
15,617,0,308,77
15,238,273,36,36
16,0,5,13,26
16,78,0,30,13
16,73,31,28,22
16,46,92,17,24
16,99,75,26,28
16,169,5,66,50
16,338,3,27,21
16,438,12,28,31
16,182,107,60,42
16,124,122,31,24
16,69,153,36,63
16,142,182,30,29
16,0,215,14,27
16,294,57,29,26
16,255,37,37,42
16,327,84,32,22
16,350,60,25,28
16,383,86,29,28
16,364,114,27,20
16,365,141,30,34
16,410,245,31,40
16,248,137,33,33
16,239,198,47,48
16,334,292,31,25
16,102,243,82,49
16,10,286,41,32
16,39,395,28,27
16,172,302,42,39
16,203,343,41,35
16,251,367,44,33
16,361,324,69,72
16,469,362,15,30
16,52,517,68,34
16,77,454,67,42
16,169,467,29,23
16,225,471,29,35
16,284,509,30,31
16,409,423,30,30
16,382,179,24,26
17,196,0,67,61
17,73,17,35,31
17,103,63,55,39
17,13,0,32,32
17,290,54,34,31
17,13,97,29,25
17,0,125,28,28
17,0,203,22,64
17,61,233,33,30
17,103,190,25,24
17,0,295,32,30
17,63,291,48,21
17,76,323,26,26
17,115,347,30,30
17,38,409,35,26
17,172,405,41,30
17,167,196,51,38
17,252,208,26,29
17,264,148,40,33
17,348,119,35,39
17,478,16,30,31
17,525,59,42,37
17,574,103,27,47
17,532,188,34,38
17,576,224,25,38
17,548,269,41,28
17,498,275,33,33
17,421,122,75,82
17,362,239,48,56
17,109,261,30,26
17,202,255,55,65
17,226,399,30,31
17,314,314,68,43
17,302,391,25,22
17,315,422,51,13
17,420,308,34,46
17,264,97,34,33
17,426,256,38,36
17,488,174,39,43
17,565,306,36,36
17,493,310,51,40
17,375,371,35,28
17,513,374,88,61
18,102,0,184,114
18,800,349,77,89
18,180,552,71,66
18,0,357,111,163
18,0,697,35,59
18,424,727,74,77
18,795,676,175,180
18,720,976,96,48
18,0,902,314,122
19,135,79,51,32
19,205,13,49,46
19,305,119,46,44
19,74,71,31,26
19,51,99,64,69
19,14,161,47,33
19,135,197,46,43
19,93,258,43,36
19,3,235,39,36
19,10,323,30,31
19,0,358,23,25
19,0,389,19,39
19,0,431,22,38
19,74,421,36,42
19,129,411,32,38
19,142,451,51,37
19,151,392,41,32
19,126,313,43,32
19,103,339,35,24
19,91,364,40,39
19,269,161,31,33
19,161,256,59,44
19,263,222,24,29
19,311,219,69,43
19,257,260,26,27
19,327,268,29,27
19,333,313,42,40
19,244,333,59,52
19,203,372,38,30
19,373,408,48,42
19,427,444,22,26
19,329,471,72,24
19,207,204,49,42
19,225,91,30,46
19,133,14,41,40
19,341,11,49,70
19,391,113,58,51
2,85,0,78,59
2,168,178,65,57
2,330,0,150,122
2,0,173,140,323
2,189,398,62,67
2,232,239,168,150
2,455,246,75,64
2,680,0,72,44
2,763,57,77,101
2,628,114,65,72
2,701,207,75,70
2,1034,0,70,39
2,734,315,60,68
2,719,414,90,39
2,654,471,173,150
2,781,621,70,56
2,716,680,60,62
2,548,603,88,206
2,380,752,83,81
2,212,568,134,75
2,0,644,49,54
2,0,758,65,72
2,82,784,59,64
2,129,670,73,70
2,194,758,75,51
2,295,838,67,62
2,153,952,64,67
2,0,990,114,166
2,0,1226,34,54
2,140,1135,65,67
2,67,1228,62,59
2,78,1310,72,72
2,140,1394,69,54
2,252,1120,161,217
2,15,1475,59,69
2,21,1544,147,51
2,147,1595,57,51
2,176,1663,64,54
2,252,1637,70,67
2,0,1903,36,93
2,62,1813,83,101
2,155,1849,65,62
2,165,1986,83,54
2,452,1406,73,86
2,287,1443,129,90
2,380,1531,91,72
2,571,1461,70,49
2,683,1479,62,54
2,769,1523,60,60
2,628,1564,49,47
2,674,1626,67,65
2,734,1714,62,55
2,534,1687,73,71
2,605,1703,67,70
2,283,1740,192,106
2,297,1843,90,75
2,328,1952,70,64
2,390,2009,125,39
2,612,1800,67,59
2,724,1812,59,52
2,974,116,106,108
2,1111,90,96,68
2,872,260,119,137
2,1062,239,103,151
2,907,442,59,54
2,1060,444,72,80
2,977,502,78,101
2,992,628,57,69
2,1373,0,78,31
2,1448,49,65,54
2,1342,75,88,75
2,1251,152,131,199
2,1269,367,57,54
2,1445,184,57,51
2,1495,222,57,59
2,1629,134,60,60
2,1634,201,72,78
2,1766,0,75,54
2,1916,0,106,116
2,1764,85,111,127
2,1730,321,54,46
2,1923,253,76,78
2,1177,711,69,52
2,1194,628,85,69
2,1271,464,145,155
2,1468,336,107,83
2,1587,429,111,209
2,1764,406,77,80
2,1877,380,171,163
2,1745,540,70,67
2,1779,626,129,67
2,1179,876,77,70
2,1391,649,69,67
2,1303,762,357,324
2,632,822,505,509
2,1210,1280,176,207
